DATE,RRPONTSYD
2022-04-11,1758.958
2022-04-12,1710.414
2022-04-13,1815.555
2022-04-14,1706.935
2022-04-15,.
2022-04-18,1738.379
2022-04-19,1817.292
2022-04-20,1866.56
2022-04-21,1854.7
2022-04-22,1765.031
2022-04-25,1783.609
2022-04-26,1819.343
2022-04-27,1803.162
2022-04-28,1818.416
2022-04-29,1906.802
2022-05-02,1796.302
2022-05-03,1796.252
2022-05-04,1815.656
2022-05-05,1844.762
2022-05-06,1861.866
2022-05-09,1858.995
2022-05-10,1864.225
2022-05-11,1876.119
2022-05-12,1900.069
2022-05-13,1865.287
2022-05-16,1833.152
2022-05-17,1877.483
2022-05-18,1973.373
2022-05-19,1981.005
2022-05-20,1987.987
2022-05-23,2044.658
2022-05-24,1987.865
2022-05-25,1995.75
2022-05-26,2007.702
2022-05-27,2006.688
2022-05-30,.
2022-05-31,1978.538
2022-06-01,1965.015
2022-06-02,1985.239
2022-06-03,2031.228
2022-06-06,2040.093
2022-06-07,2091.395
2022-06-08,2140.277
2022-06-09,2142.318
2022-06-10,2162.885
2022-06-13,2212.62
2022-06-14,2223.857
2022-06-15,2162.924
2022-06-16,2178.382
2022-06-17,2229.279
2022-06-20,.
2022-06-21,2188.627
2022-06-22,2259.458
2022-06-23,2285.442
2022-06-24,2180.984
2022-06-27,2155.942
2022-06-28,2213.784
2022-06-29,2226.976
2022-06-30,2329.743
2022-07-01,2167.085
2022-07-04,.
2022-07-05,2138.28
2022-07-06,2168.026
2022-07-07,2172.457
2022-07-08,2144.921
2022-07-11,2164.266
2022-07-12,2146.132
2022-07-13,2155.29
2022-07-14,2207.121
2022-07-15,2153.75
2022-07-18,2190.375
2022-07-19,2211.821
2022-07-20,2240.204
2022-07-21,2271.756
2022-07-22,2228.959
2022-07-25,2192.367
2022-07-26,2189.474
2022-07-27,2188.994
2022-07-28,2239.883
2022-07-29,2300.2
2022-08-01,2161.885
2022-08-02,2156.013
2022-08-03,2182.238
2022-08-04,2191.546
2022-08-05,2194.927
2022-08-08,2195.692
2022-08-09,2186.568
2022-08-10,2177.646
2022-08-11,2199.247
2022-08-12,2213.193
2022-08-15,2175.857
2022-08-16,2165.332
2022-08-17,2199.631
2022-08-18,2218.161
2022-08-19,2221.68
2022-08-22,2235.665
2022-08-23,2250.718
2022-08-24,2237.072
2022-08-25,2187.907
2022-08-26,2182.452
2022-08-29,2205.188
2022-08-30,2188.975
2022-08-31,2251.025
2022-09-01,2173.156
2022-09-02,2173.413
2022-09-05,.
2022-09-06,2188.796
2022-09-07,2206.987
2022-09-08,2210.466
2022-09-09,2209.714
2022-09-12,2218.546
2022-09-13,2202.719
2022-09-14,2225.579
2022-09-15,2176.188
2022-09-16,2186.833
2022-09-19,2217.542
2022-09-20,2238.87
2022-09-21,2315.9
2022-09-22,2359.227
2022-09-23,2319.361
2022-09-26,2299.011
2022-09-27,2327.111
2022-09-28,2366.798
2022-09-29,2371.763
2022-09-30,2425.91
2022-10-03,2252.523
2022-10-04,2233.616
2022-10-05,2230.799
2022-10-06,2232.801
2022-10-07,2226.95
2022-10-10,.
2022-10-11,2222.479
2022-10-12,2247.206
2022-10-13,2244.1
2022-10-14,2222.052
2022-10-17,2172.301
2022-10-18,2226.725
2022-10-19,2241.835
2022-10-20,2234.071
2022-10-21,2265.809
2022-10-24,2242.044
2022-10-25,2195.616
2022-10-26,2186.856
2022-10-27,2152.485
2022-10-28,2183.29
2022-10-31,2275.459
2022-11-01,2200.51
2022-11-02,2229.861
2022-11-03,2219.791
2022-11-04,2230.84
2022-11-07,2241.317
2022-11-08,2232.555
2022-11-09,2237.812
2022-11-10,2200.586
2022-11-11,.
2022-11-14,2165.018
2022-11-15,2086.574
2022-11-16,2099.07
2022-11-17,2114.439
2022-11-18,2113.413
2022-11-21,2125.426
2022-11-22,2103.932
2022-11-23,2069.174
2022-11-24,.
2022-11-25,2031.066
2022-11-28,2054.914
2022-11-29,2064.377
2022-11-30,2115.913
2022-12-01,2050.286
2022-12-02,2049.763
2022-12-05,2093.647
2022-12-06,2111.465
2022-12-07,2151.549
2022-12-08,2175.973
2022-12-09,2146.748
2022-12-12,2158.517
2022-12-13,2180.676
2022-12-14,2192.864
2022-12-15,2123.995
2022-12-16,2126.54
2022-12-19,2134.765
2022-12-20,2159.408
2022-12-21,2206.965
2022-12-22,2222.898
2022-12-23,2216.348
2022-12-26,.
2022-12-27,2221.259
2022-12-28,2293.003
2022-12-29,2308.319
2022-12-30,2553.716
2023-01-02,.
2023-01-03,2188.272
2023-01-04,2229.542
2023-01-05,2242.486
2023-01-06,2208.265
2023-01-09,2199.121
2023-01-10,2192.942
2023-01-11,2199.17
2023-01-12,2202.989
2023-01-13,2179.781
2023-01-16,.
2023-01-17,2093.328
2023-01-18,2131.678
2023-01-19,2110.145
2023-01-20,2090.523
2023-01-23,2135.499
2023-01-24,2048.386
2023-01-25,2031.561
2023-01-26,2024.069
2023-01-27,2003.634
2023-01-30,2048.714
2023-01-31,2061.572
2023-02-01,2038.262
2023-02-02,2050.063
2023-02-03,2041.217
2023-02-06,2072.261
2023-02-07,2057.958
2023-02-08,2059.604
2023-02-09,2058.942
2023-02-10,2042.893
2023-02-13,2107.775
2023-02-14,2076.548
2023-02-15,2011.998
2023-02-16,2032.457
2023-02-17,2059.662
2023-02-20,.
2023-02-21,2046.064
2023-02-22,2113.849
2023-02-23,2147.417
2023-02-24,2142.141
2023-02-27,2162.435
2023-02-28,2188.035
2023-03-01,2133.95
2023-03-02,2192.355
2023-03-03,2186.15
2023-03-06,2190.793
2023-03-07,2170.195
2023-03-08,2193.237
2023-03-09,2229.623
2023-03-10,2188.375
2023-03-13,2126.677
2023-03-14,2042.579
2023-03-15,2055.823
2023-03-16,2066.319
2023-03-17,2106.166
2023-03-20,2098.393
2023-03-21,2194.631
2023-03-22,2279.608
2023-03-23,2233.956
2023-03-24,2218.458
2023-03-27,2220.131
2023-03-28,2231.749
2023-03-29,2264.862
2023-03-30,2271.531
2023-03-31,2375.171
2023-04-03,2221.01
2023-04-04,2219.375
2023-04-05,2243.011
2023-04-06,2173.663
2023-04-07,.
2023-04-10,2239.655
2023-04-11,2297.208
2023-04-12,2303.862
